data;evento
21/08/1982;Guerra Irã-Iraque
22/08/1982;Guerra Irã-Iraque
23/08/1982;Guerra Irã-Iraque
24/08/1982;Guerra Irã-Iraque
25/08/1982;Guerra Irã-Iraque
26/08/1982;Guerra Irã-Iraque
27/08/1982;Guerra Irã-Iraque
28/08/1982;Guerra Irã-Iraque
29/08/1982;Guerra Irã-Iraque
30/08/1982;Guerra Irã-Iraque
31/08/1982;Guerra Irã-Iraque
01/09/1982;Guerra Irã-Iraque
02/09/1982;Guerra Irã-Iraque
03/09/1982;Guerra Irã-Iraque
04/09/1982;Guerra Irã-Iraque
05/09/1982;Guerra Irã-Iraque
06/09/1982;Guerra Irã-Iraque
07/09/1982;Guerra Irã-Iraque
08/09/1982;Guerra Irã-Iraque
09/09/1982;Guerra Irã-Iraque
10/09/1982;Guerra Irã-Iraque
11/09/1982;Guerra Irã-Iraque
12/09/1982;Guerra Irã-Iraque
13/09/1982;Guerra Irã-Iraque
14/09/1982;Guerra Irã-Iraque
15/09/1982;Guerra Irã-Iraque
16/09/1982;Guerra Irã-Iraque
17/09/1982;Guerra Irã-Iraque
18/09/1982;Guerra Irã-Iraque
19/09/1982;Guerra Irã-Iraque
20/09/1982;Guerra Irã-Iraque
21/09/1982;Guerra Irã-Iraque
22/09/1982;Guerra Irã-Iraque
23/09/1982;Guerra Irã-Iraque
24/09/1982;Guerra Irã-Iraque
25/09/1982;Guerra Irã-Iraque
26/09/1982;Guerra Irã-Iraque
27/09/1982;Guerra Irã-Iraque
28/09/1982;Guerra Irã-Iraque
29/09/1982;Guerra Irã-Iraque
30/09/1982;Guerra Irã-Iraque
01/10/1982;Guerra Irã-Iraque
02/10/1982;Guerra Irã-Iraque
03/10/1982;Guerra Irã-Iraque
04/10/1982;Guerra Irã-Iraque
05/10/1982;Guerra Irã-Iraque
06/10/1982;Guerra Irã-Iraque
07/10/1982;Guerra Irã-Iraque
08/10/1982;Guerra Irã-Iraque
09/10/1982;Guerra Irã-Iraque
10/10/1982;Guerra Irã-Iraque
11/10/1982;Guerra Irã-Iraque
12/10/1982;Guerra Irã-Iraque
13/10/1982;Guerra Irã-Iraque
14/10/1982;Guerra Irã-Iraque
15/10/1982;Guerra Irã-Iraque
16/10/1982;Guerra Irã-Iraque
17/10/1982;Guerra Irã-Iraque
18/10/1982;Guerra Irã-Iraque
19/10/1982;Guerra Irã-Iraque
20/10/1982;Guerra Irã-Iraque
21/10/1982;Guerra Irã-Iraque
22/10/1982;Guerra Irã-Iraque
23/10/1982;Guerra Irã-Iraque
24/10/1982;Guerra Irã-Iraque
25/10/1982;Guerra Irã-Iraque
26/10/1982;Guerra Irã-Iraque
27/10/1982;Guerra Irã-Iraque
28/10/1982;Guerra Irã-Iraque
29/10/1982;Guerra Irã-Iraque
30/10/1982;Guerra Irã-Iraque
31/10/1982;Guerra Irã-Iraque
01/11/1982;Guerra Irã-Iraque
02/11/1982;Guerra Irã-Iraque
03/11/1982;Guerra Irã-Iraque
04/11/1982;Guerra Irã-Iraque
05/11/1982;Guerra Irã-Iraque
06/11/1982;Guerra Irã-Iraque
07/11/1982;Guerra Irã-Iraque
08/11/1982;Guerra Irã-Iraque
09/11/1982;Guerra Irã-Iraque
10/11/1982;Guerra Irã-Iraque
11/11/1982;Guerra Irã-Iraque
12/11/1982;Guerra Irã-Iraque
13/11/1982;Guerra Irã-Iraque
14/11/1982;Guerra Irã-Iraque
15/11/1982;Guerra Irã-Iraque
16/11/1982;Guerra Irã-Iraque
17/11/1982;Guerra Irã-Iraque
18/11/1982;Guerra Irã-Iraque
19/11/1982;Guerra Irã-Iraque
20/11/1982;Guerra Irã-Iraque
21/11/1982;Guerra Irã-Iraque
22/11/1982;Guerra Irã-Iraque
23/11/1982;Guerra Irã-Iraque
24/11/1982;Guerra Irã-Iraque
25/11/1982;Guerra Irã-Iraque
26/11/1982;Guerra Irã-Iraque
27/11/1982;Guerra Irã-Iraque
28/11/1982;Guerra Irã-Iraque
29/11/1982;Guerra Irã-Iraque
30/11/1982;Guerra Irã-Iraque
01/12/1982;Guerra Irã-Iraque
02/12/1982;Guerra Irã-Iraque
03/12/1982;Guerra Irã-Iraque
04/12/1982;Guerra Irã-Iraque
05/12/1982;Guerra Irã-Iraque
06/12/1982;Guerra Irã-Iraque
07/12/1982;Guerra Irã-Iraque
08/12/1982;Guerra Irã-Iraque
09/12/1982;Guerra Irã-Iraque
10/12/1982;Guerra Irã-Iraque
11/12/1982;Guerra Irã-Iraque
12/12/1982;Guerra Irã-Iraque
13/12/1982;Guerra Irã-Iraque
14/12/1982;Guerra Irã-Iraque
15/12/1982;Guerra Irã-Iraque
16/12/1982;Guerra Irã-Iraque
17/12/1982;Guerra Irã-Iraque
18/12/1982;Guerra Irã-Iraque
19/12/1982;Guerra Irã-Iraque
20/12/1982;Guerra Irã-Iraque
21/12/1982;Guerra Irã-Iraque
22/12/1982;Guerra Irã-Iraque
23/12/1982;Guerra Irã-Iraque
24/12/1982;Guerra Irã-Iraque
25/12/1982;Guerra Irã-Iraque
26/12/1982;Guerra Irã-Iraque
27/12/1982;Guerra Irã-Iraque
28/12/1982;Guerra Irã-Iraque
29/12/1982;Guerra Irã-Iraque
30/12/1982;Guerra Irã-Iraque
31/12/1982;Guerra Irã-Iraque
01/01/1983;Guerra Irã-Iraque
02/01/1983;Guerra Irã-Iraque
03/01/1983;Guerra Irã-Iraque
04/01/1983;Guerra Irã-Iraque
05/01/1983;Guerra Irã-Iraque
06/01/1983;Guerra Irã-Iraque
07/01/1983;Guerra Irã-Iraque
08/01/1983;Guerra Irã-Iraque
09/01/1983;Guerra Irã-Iraque
10/01/1983;Guerra Irã-Iraque
11/01/1983;Guerra Irã-Iraque
12/01/1983;Guerra Irã-Iraque
13/01/1983;Guerra Irã-Iraque
14/01/1983;Guerra Irã-Iraque
15/01/1983;Guerra Irã-Iraque
16/01/1983;Guerra Irã-Iraque
17/01/1983;Guerra Irã-Iraque
18/01/1983;Guerra Irã-Iraque
19/01/1983;Guerra Irã-Iraque
20/01/1983;Guerra Irã-Iraque
21/01/1983;Guerra Irã-Iraque
22/01/1983;Guerra Irã-Iraque
23/01/1983;Guerra Irã-Iraque
24/01/1983;Guerra Irã-Iraque
25/01/1983;Guerra Irã-Iraque
26/01/1983;Guerra Irã-Iraque
27/01/1983;Guerra Irã-Iraque
28/01/1983;Guerra Irã-Iraque
29/01/1983;Guerra Irã-Iraque
30/01/1983;Guerra Irã-Iraque
31/01/1983;Guerra Irã-Iraque
01/02/1983;Guerra Irã-Iraque
02/02/1983;Guerra Irã-Iraque
03/02/1983;Guerra Irã-Iraque
04/02/1983;Guerra Irã-Iraque
05/02/1983;Guerra Irã-Iraque
06/02/1983;Guerra Irã-Iraque
07/02/1983;Guerra Irã-Iraque
08/02/1983;Guerra Irã-Iraque
09/02/1983;Guerra Irã-Iraque
10/02/1983;Guerra Irã-Iraque
11/02/1983;Guerra Irã-Iraque
12/02/1983;Guerra Irã-Iraque
13/02/1983;Guerra Irã-Iraque
14/02/1983;Guerra Irã-Iraque
15/02/1983;Guerra Irã-Iraque
16/02/1983;Guerra Irã-Iraque
17/02/1983;Guerra Irã-Iraque
18/02/1983;Guerra Irã-Iraque
19/02/1983;Guerra Irã-Iraque
20/02/1983;Guerra Irã-Iraque
21/02/1983;Guerra Irã-Iraque
22/02/1983;Guerra Irã-Iraque
23/02/1983;Guerra Irã-Iraque
24/02/1983;Guerra Irã-Iraque
25/02/1983;Guerra Irã-Iraque
26/02/1983;Guerra Irã-Iraque
27/02/1983;Guerra Irã-Iraque
28/02/1983;Guerra Irã-Iraque
01/03/1983;Guerra Irã-Iraque
02/03/1983;Guerra Irã-Iraque
03/03/1983;Guerra Irã-Iraque
04/03/1983;Guerra Irã-Iraque
05/03/1983;Guerra Irã-Iraque
06/03/1983;Guerra Irã-Iraque
07/03/1983;Guerra Irã-Iraque
08/03/1983;Guerra Irã-Iraque
09/03/1983;Guerra Irã-Iraque
10/03/1983;Guerra Irã-Iraque
11/03/1983;Guerra Irã-Iraque
12/03/1983;Guerra Irã-Iraque
13/03/1983;Guerra Irã-Iraque
14/03/1983;Guerra Irã-Iraque
15/03/1983;Guerra Irã-Iraque
16/03/1983;Guerra Irã-Iraque
17/03/1983;Guerra Irã-Iraque
18/03/1983;Guerra Irã-Iraque
19/03/1983;Guerra Irã-Iraque
20/03/1983;Guerra Irã-Iraque
21/03/1983;Guerra Irã-Iraque
22/03/1983;Guerra Irã-Iraque
23/03/1983;Guerra Irã-Iraque
24/03/1983;Guerra Irã-Iraque
25/03/1983;Guerra Irã-Iraque
26/03/1983;Guerra Irã-Iraque
27/03/1983;Guerra Irã-Iraque
28/03/1983;Guerra Irã-Iraque
29/03/1983;Guerra Irã-Iraque
30/03/1983;Guerra Irã-Iraque
31/03/1983;Guerra Irã-Iraque
01/04/1983;Guerra Irã-Iraque
02/04/1983;Guerra Irã-Iraque
03/04/1983;Guerra Irã-Iraque
04/04/1983;Guerra Irã-Iraque
05/04/1983;Guerra Irã-Iraque
06/04/1983;Guerra Irã-Iraque
07/04/1983;Guerra Irã-Iraque
08/04/1983;Guerra Irã-Iraque
09/04/1983;Guerra Irã-Iraque
10/04/1983;Guerra Irã-Iraque
11/04/1983;Guerra Irã-Iraque
12/04/1983;Guerra Irã-Iraque
13/04/1983;Guerra Irã-Iraque
14/04/1983;Guerra Irã-Iraque
15/04/1983;Guerra Irã-Iraque
16/04/1983;Guerra Irã-Iraque
17/04/1983;Guerra Irã-Iraque
18/04/1983;Guerra Irã-Iraque
19/04/1983;Guerra Irã-Iraque
20/04/1983;Guerra Irã-Iraque
21/04/1983;Guerra Irã-Iraque
22/04/1983;Guerra Irã-Iraque
23/04/1983;Guerra Irã-Iraque
24/04/1983;Guerra Irã-Iraque
25/04/1983;Guerra Irã-Iraque
26/04/1983;Guerra Irã-Iraque
27/04/1983;Guerra Irã-Iraque
28/04/1983;Guerra Irã-Iraque
29/04/1983;Guerra Irã-Iraque
30/04/1983;Guerra Irã-Iraque
01/05/1983;Guerra Irã-Iraque
02/05/1983;Guerra Irã-Iraque
03/05/1983;Guerra Irã-Iraque
04/05/1983;Guerra Irã-Iraque
05/05/1983;Guerra Irã-Iraque
06/05/1983;Guerra Irã-Iraque
07/05/1983;Guerra Irã-Iraque
08/05/1983;Guerra Irã-Iraque
09/05/1983;Guerra Irã-Iraque
10/05/1983;Guerra Irã-Iraque
11/05/1983;Guerra Irã-Iraque
12/05/1983;Guerra Irã-Iraque
13/05/1983;Guerra Irã-Iraque
14/05/1983;Guerra Irã-Iraque
15/05/1983;Guerra Irã-Iraque
16/05/1983;Guerra Irã-Iraque
17/05/1983;Guerra Irã-Iraque
18/05/1983;Guerra Irã-Iraque
19/05/1983;Guerra Irã-Iraque
20/05/1983;Guerra Irã-Iraque
21/05/1983;Guerra Irã-Iraque
22/05/1983;Guerra Irã-Iraque
23/05/1983;Guerra Irã-Iraque
24/05/1983;Guerra Irã-Iraque
25/05/1983;Guerra Irã-Iraque
26/05/1983;Guerra Irã-Iraque
27/05/1983;Guerra Irã-Iraque
28/05/1983;Guerra Irã-Iraque
29/05/1983;Guerra Irã-Iraque
30/05/1983;Guerra Irã-Iraque
31/05/1983;Guerra Irã-Iraque
01/06/1983;Guerra Irã-Iraque
02/06/1983;Guerra Irã-Iraque
03/06/1983;Guerra Irã-Iraque
04/06/1983;Guerra Irã-Iraque
05/06/1983;Guerra Irã-Iraque
06/06/1983;Guerra Irã-Iraque
07/06/1983;Guerra Irã-Iraque
08/06/1983;Guerra Irã-Iraque
09/06/1983;Guerra Irã-Iraque
10/06/1983;Guerra Irã-Iraque
11/06/1983;Guerra Irã-Iraque
12/06/1983;Guerra Irã-Iraque
13/06/1983;Guerra Irã-Iraque
14/06/1983;Guerra Irã-Iraque
15/06/1983;Guerra Irã-Iraque
16/06/1983;Guerra Irã-Iraque
17/06/1983;Guerra Irã-Iraque
18/06/1983;Guerra Irã-Iraque
19/06/1983;Guerra Irã-Iraque
20/06/1983;Guerra Irã-Iraque
21/06/1983;Guerra Irã-Iraque
22/06/1983;Guerra Irã-Iraque
23/06/1983;Guerra Irã-Iraque
24/06/1983;Guerra Irã-Iraque
25/06/1983;Guerra Irã-Iraque
26/06/1983;Guerra Irã-Iraque
27/06/1983;Guerra Irã-Iraque
28/06/1983;Guerra Irã-Iraque
29/06/1983;Guerra Irã-Iraque
30/06/1983;Guerra Irã-Iraque
01/07/1983;Guerra Irã-Iraque
02/07/1983;Guerra Irã-Iraque
03/07/1983;Guerra Irã-Iraque
04/07/1983;Guerra Irã-Iraque
05/07/1983;Guerra Irã-Iraque
06/07/1983;Guerra Irã-Iraque
07/07/1983;Guerra Irã-Iraque
08/07/1983;Guerra Irã-Iraque
09/07/1983;Guerra Irã-Iraque
10/07/1983;Guerra Irã-Iraque
11/07/1983;Guerra Irã-Iraque
12/07/1983;Guerra Irã-Iraque
13/07/1983;Guerra Irã-Iraque
14/07/1983;Guerra Irã-Iraque
15/07/1983;Guerra Irã-Iraque
16/07/1983;Guerra Irã-Iraque
17/07/1983;Guerra Irã-Iraque
18/07/1983;Guerra Irã-Iraque
19/07/1983;Guerra Irã-Iraque
20/07/1983;Guerra Irã-Iraque
21/07/1983;Guerra Irã-Iraque
22/07/1983;Guerra Irã-Iraque
23/07/1983;Guerra Irã-Iraque
24/07/1983;Guerra Irã-Iraque
25/07/1983;Guerra Irã-Iraque
26/07/1983;Guerra Irã-Iraque
27/07/1983;Guerra Irã-Iraque
28/07/1983;Guerra Irã-Iraque
29/07/1983;Guerra Irã-Iraque
30/07/1983;Guerra Irã-Iraque
31/07/1983;Guerra Irã-Iraque
01/08/1983;Guerra Irã-Iraque
02/08/1983;Guerra Irã-Iraque
03/08/1983;Guerra Irã-Iraque
04/08/1983;Guerra Irã-Iraque
05/08/1983;Guerra Irã-Iraque
06/08/1983;Guerra Irã-Iraque
07/08/1983;Guerra Irã-Iraque
08/08/1983;Guerra Irã-Iraque
09/08/1983;Guerra Irã-Iraque
10/08/1983;Guerra Irã-Iraque
11/08/1983;Guerra Irã-Iraque
12/08/1983;Guerra Irã-Iraque
13/08/1983;Guerra Irã-Iraque
14/08/1983;Guerra Irã-Iraque
15/08/1983;Guerra Irã-Iraque
16/08/1983;Guerra Irã-Iraque
17/08/1983;Guerra Irã-Iraque
18/08/1983;Guerra Irã-Iraque
19/08/1983;Guerra Irã-Iraque
20/08/1983;Guerra Irã-Iraque
21/08/1983;Guerra Irã-Iraque
22/08/1983;Guerra Irã-Iraque
23/08/1983;Guerra Irã-Iraque
24/08/1983;Guerra Irã-Iraque
25/08/1983;Guerra Irã-Iraque
26/08/1983;Guerra Irã-Iraque
27/08/1983;Guerra Irã-Iraque
28/08/1983;Guerra Irã-Iraque
29/08/1983;Guerra Irã-Iraque
30/08/1983;Guerra Irã-Iraque
31/08/1983;Guerra Irã-Iraque
01/09/1983;Guerra Irã-Iraque
02/09/1983;Guerra Irã-Iraque
03/09/1983;Guerra Irã-Iraque
04/09/1983;Guerra Irã-Iraque
05/09/1983;Guerra Irã-Iraque
06/09/1983;Guerra Irã-Iraque
07/09/1983;Guerra Irã-Iraque
08/09/1983;Guerra Irã-Iraque
09/09/1983;Guerra Irã-Iraque
10/09/1983;Guerra Irã-Iraque
11/09/1983;Guerra Irã-Iraque
12/09/1983;Guerra Irã-Iraque
13/09/1983;Guerra Irã-Iraque
14/09/1983;Guerra Irã-Iraque
15/09/1983;Guerra Irã-Iraque
16/09/1983;Guerra Irã-Iraque
17/09/1983;Guerra Irã-Iraque
18/09/1983;Guerra Irã-Iraque
19/09/1983;Guerra Irã-Iraque
20/09/1983;Guerra Irã-Iraque
21/09/1983;Guerra Irã-Iraque
22/09/1983;Guerra Irã-Iraque
23/09/1983;Guerra Irã-Iraque
24/09/1983;Guerra Irã-Iraque
25/09/1983;Guerra Irã-Iraque
26/09/1983;Guerra Irã-Iraque
27/09/1983;Guerra Irã-Iraque
28/09/1983;Guerra Irã-Iraque
29/09/1983;Guerra Irã-Iraque
30/09/1983;Guerra Irã-Iraque
01/10/1983;Guerra Irã-Iraque
02/10/1983;Guerra Irã-Iraque
03/10/1983;Guerra Irã-Iraque
04/10/1983;Guerra Irã-Iraque
05/10/1983;Guerra Irã-Iraque
06/10/1983;Guerra Irã-Iraque
07/10/1983;Guerra Irã-Iraque
08/10/1983;Guerra Irã-Iraque
09/10/1983;Guerra Irã-Iraque
10/10/1983;Guerra Irã-Iraque
11/10/1983;Guerra Irã-Iraque
12/10/1983;Guerra Irã-Iraque
13/10/1983;Guerra Irã-Iraque
14/10/1983;Guerra Irã-Iraque
15/10/1983;Guerra Irã-Iraque
16/10/1983;Guerra Irã-Iraque
17/10/1983;Guerra Irã-Iraque
18/10/1983;Guerra Irã-Iraque
19/10/1983;Guerra Irã-Iraque
20/10/1983;Guerra Irã-Iraque
21/10/1983;Guerra Irã-Iraque
22/10/1983;Guerra Irã-Iraque
23/10/1983;Guerra Irã-Iraque
24/10/1983;Guerra Irã-Iraque
25/10/1983;Guerra Irã-Iraque
26/10/1983;Guerra Irã-Iraque
27/10/1983;Guerra Irã-Iraque
28/10/1983;Guerra Irã-Iraque
29/10/1983;Guerra Irã-Iraque
30/10/1983;Guerra Irã-Iraque
31/10/1983;Guerra Irã-Iraque
01/11/1983;Guerra Irã-Iraque
02/11/1983;Guerra Irã-Iraque
03/11/1983;Guerra Irã-Iraque
04/11/1983;Guerra Irã-Iraque
05/11/1983;Guerra Irã-Iraque
06/11/1983;Guerra Irã-Iraque
07/11/1983;Guerra Irã-Iraque
08/11/1983;Guerra Irã-Iraque
09/11/1983;Guerra Irã-Iraque
10/11/1983;Guerra Irã-Iraque
11/11/1983;Guerra Irã-Iraque
12/11/1983;Guerra Irã-Iraque
13/11/1983;Guerra Irã-Iraque
14/11/1983;Guerra Irã-Iraque
15/11/1983;Guerra Irã-Iraque
16/11/1983;Guerra Irã-Iraque
17/11/1983;Guerra Irã-Iraque
18/11/1983;Guerra Irã-Iraque
19/11/1983;Guerra Irã-Iraque
20/11/1983;Guerra Irã-Iraque
21/11/1983;Guerra Irã-Iraque
22/11/1983;Guerra Irã-Iraque
23/11/1983;Guerra Irã-Iraque
24/11/1983;Guerra Irã-Iraque
25/11/1983;Guerra Irã-Iraque
26/11/1983;Guerra Irã-Iraque
27/11/1983;Guerra Irã-Iraque
28/11/1983;Guerra Irã-Iraque
29/11/1983;Guerra Irã-Iraque
30/11/1983;Guerra Irã-Iraque
01/12/1983;Guerra Irã-Iraque
02/12/1983;Guerra Irã-Iraque
03/12/1983;Guerra Irã-Iraque
04/12/1983;Guerra Irã-Iraque
05/12/1983;Guerra Irã-Iraque
06/12/1983;Guerra Irã-Iraque
07/12/1983;Guerra Irã-Iraque
08/12/1983;Guerra Irã-Iraque
09/12/1983;Guerra Irã-Iraque
10/12/1983;Guerra Irã-Iraque
11/12/1983;Guerra Irã-Iraque
12/12/1983;Guerra Irã-Iraque
13/12/1983;Guerra Irã-Iraque
14/12/1983;Guerra Irã-Iraque
15/12/1983;Guerra Irã-Iraque
16/12/1983;Guerra Irã-Iraque
17/12/1983;Guerra Irã-Iraque
18/12/1983;Guerra Irã-Iraque
19/12/1983;Guerra Irã-Iraque
20/12/1983;Guerra Irã-Iraque
21/12/1983;Guerra Irã-Iraque
22/12/1983;Guerra Irã-Iraque
23/12/1983;Guerra Irã-Iraque
24/12/1983;Guerra Irã-Iraque
25/12/1983;Guerra Irã-Iraque
26/12/1983;Guerra Irã-Iraque
27/12/1983;Guerra Irã-Iraque
28/12/1983;Guerra Irã-Iraque
29/12/1983;Guerra Irã-Iraque
30/12/1983;Guerra Irã-Iraque
31/12/1983;Guerra Irã-Iraque
01/01/1984;Guerra Irã-Iraque
02/01/1984;Guerra Irã-Iraque
03/01/1984;Guerra Irã-Iraque
04/01/1984;Guerra Irã-Iraque
05/01/1984;Guerra Irã-Iraque
06/01/1984;Guerra Irã-Iraque
07/01/1984;Guerra Irã-Iraque
08/01/1984;Guerra Irã-Iraque
09/01/1984;Guerra Irã-Iraque
10/01/1984;Guerra Irã-Iraque
11/01/1984;Guerra Irã-Iraque
12/01/1984;Guerra Irã-Iraque
13/01/1984;Guerra Irã-Iraque
14/01/1984;Guerra Irã-Iraque
15/01/1984;Guerra Irã-Iraque
16/01/1984;Guerra Irã-Iraque
17/01/1984;Guerra Irã-Iraque
18/01/1984;Guerra Irã-Iraque
19/01/1984;Guerra Irã-Iraque
20/01/1984;Guerra Irã-Iraque
21/01/1984;Guerra Irã-Iraque
22/01/1984;Guerra Irã-Iraque
23/01/1984;Guerra Irã-Iraque
24/01/1984;Guerra Irã-Iraque
25/01/1984;Guerra Irã-Iraque
26/01/1984;Guerra Irã-Iraque
27/01/1984;Guerra Irã-Iraque
28/01/1984;Guerra Irã-Iraque
29/01/1984;Guerra Irã-Iraque
30/01/1984;Guerra Irã-Iraque
31/01/1984;Guerra Irã-Iraque
01/02/1984;Guerra Irã-Iraque
02/02/1984;Guerra Irã-Iraque
03/02/1984;Guerra Irã-Iraque
04/02/1984;Guerra Irã-Iraque
05/02/1984;Guerra Irã-Iraque
06/02/1984;Guerra Irã-Iraque
07/02/1984;Guerra Irã-Iraque
08/02/1984;Guerra Irã-Iraque
09/02/1984;Guerra Irã-Iraque
10/02/1984;Guerra Irã-Iraque
11/02/1984;Guerra Irã-Iraque
12/02/1984;Guerra Irã-Iraque
13/02/1984;Guerra Irã-Iraque
14/02/1984;Guerra Irã-Iraque
15/02/1984;Guerra Irã-Iraque
16/02/1984;Guerra Irã-Iraque
17/02/1984;Guerra Irã-Iraque
18/02/1984;Guerra Irã-Iraque
19/02/1984;Guerra Irã-Iraque
20/02/1984;Guerra Irã-Iraque
21/02/1984;Guerra Irã-Iraque
22/02/1984;Guerra Irã-Iraque
23/02/1984;Guerra Irã-Iraque
24/02/1984;Guerra Irã-Iraque
25/02/1984;Guerra Irã-Iraque
26/02/1984;Guerra Irã-Iraque
27/02/1984;Guerra Irã-Iraque
28/02/1984;Guerra Irã-Iraque
29/02/1984;Guerra Irã-Iraque
01/03/1984;Guerra Irã-Iraque
02/03/1984;Guerra Irã-Iraque
03/03/1984;Guerra Irã-Iraque
04/03/1984;Guerra Irã-Iraque
05/03/1984;Guerra Irã-Iraque
06/03/1984;Guerra Irã-Iraque
07/03/1984;Guerra Irã-Iraque
08/03/1984;Guerra Irã-Iraque
09/03/1984;Guerra Irã-Iraque
10/03/1984;Guerra Irã-Iraque
11/03/1984;Guerra Irã-Iraque
12/03/1984;Guerra Irã-Iraque
13/03/1984;Guerra Irã-Iraque
14/03/1984;Guerra Irã-Iraque
15/03/1984;Guerra Irã-Iraque
16/03/1984;Guerra Irã-Iraque
17/03/1984;Guerra Irã-Iraque
18/03/1984;Guerra Irã-Iraque
19/03/1984;Guerra Irã-Iraque
20/03/1984;Guerra Irã-Iraque
21/03/1984;Guerra Irã-Iraque
22/03/1984;Guerra Irã-Iraque
23/03/1984;Guerra Irã-Iraque
24/03/1984;Guerra Irã-Iraque
25/03/1984;Guerra Irã-Iraque
26/03/1984;Guerra Irã-Iraque
27/03/1984;Guerra Irã-Iraque
28/03/1984;Guerra Irã-Iraque
29/03/1984;Guerra Irã-Iraque
30/03/1984;Guerra Irã-Iraque
31/03/1984;Guerra Irã-Iraque
01/04/1984;Guerra Irã-Iraque
02/04/1984;Guerra Irã-Iraque
03/04/1984;Guerra Irã-Iraque
04/04/1984;Guerra Irã-Iraque
05/04/1984;Guerra Irã-Iraque
06/04/1984;Guerra Irã-Iraque
07/04/1984;Guerra Irã-Iraque
08/04/1984;Guerra Irã-Iraque
09/04/1984;Guerra Irã-Iraque
10/04/1984;Guerra Irã-Iraque
11/04/1984;Guerra Irã-Iraque
12/04/1984;Guerra Irã-Iraque
13/04/1984;Guerra Irã-Iraque
14/04/1984;Guerra Irã-Iraque
15/04/1984;Guerra Irã-Iraque
16/04/1984;Guerra Irã-Iraque
17/04/1984;Guerra Irã-Iraque
18/04/1984;Guerra Irã-Iraque
19/04/1984;Guerra Irã-Iraque
20/04/1984;Guerra Irã-Iraque
21/04/1984;Guerra Irã-Iraque
22/04/1984;Guerra Irã-Iraque
23/04/1984;Guerra Irã-Iraque
24/04/1984;Guerra Irã-Iraque
25/04/1984;Guerra Irã-Iraque
26/04/1984;Guerra Irã-Iraque
27/04/1984;Guerra Irã-Iraque
28/04/1984;Guerra Irã-Iraque
29/04/1984;Guerra Irã-Iraque
30/04/1984;Guerra Irã-Iraque
01/05/1984;Guerra Irã-Iraque
02/05/1984;Guerra Irã-Iraque
03/05/1984;Guerra Irã-Iraque
04/05/1984;Guerra Irã-Iraque
05/05/1984;Guerra Irã-Iraque
06/05/1984;Guerra Irã-Iraque
07/05/1984;Guerra Irã-Iraque
08/05/1984;Guerra Irã-Iraque
09/05/1984;Guerra Irã-Iraque
10/05/1984;Guerra Irã-Iraque
11/05/1984;Guerra Irã-Iraque
12/05/1984;Guerra Irã-Iraque
13/05/1984;Guerra Irã-Iraque
14/05/1984;Guerra Irã-Iraque
15/05/1984;Guerra Irã-Iraque
16/05/1984;Guerra Irã-Iraque
17/05/1984;Guerra Irã-Iraque
18/05/1984;Guerra Irã-Iraque
19/05/1984;Guerra Irã-Iraque
20/05/1984;Guerra Irã-Iraque
21/05/1984;Guerra Irã-Iraque
22/05/1984;Guerra Irã-Iraque
23/05/1984;Guerra Irã-Iraque
24/05/1984;Guerra Irã-Iraque
25/05/1984;Guerra Irã-Iraque
26/05/1984;Guerra Irã-Iraque
27/05/1984;Guerra Irã-Iraque
28/05/1984;Guerra Irã-Iraque
29/05/1984;Guerra Irã-Iraque
30/05/1984;Guerra Irã-Iraque
31/05/1984;Guerra Irã-Iraque
01/06/1984;Guerra Irã-Iraque
02/06/1984;Guerra Irã-Iraque
03/06/1984;Guerra Irã-Iraque
04/06/1984;Guerra Irã-Iraque
05/06/1984;Guerra Irã-Iraque
06/06/1984;Guerra Irã-Iraque
07/06/1984;Guerra Irã-Iraque
08/06/1984;Guerra Irã-Iraque
09/06/1984;Guerra Irã-Iraque
10/06/1984;Guerra Irã-Iraque
11/06/1984;Guerra Irã-Iraque
12/06/1984;Guerra Irã-Iraque
13/06/1984;Guerra Irã-Iraque
14/06/1984;Guerra Irã-Iraque
15/06/1984;Guerra Irã-Iraque
16/06/1984;Guerra Irã-Iraque
17/06/1984;Guerra Irã-Iraque
18/06/1984;Guerra Irã-Iraque
19/06/1984;Guerra Irã-Iraque
20/06/1984;Guerra Irã-Iraque
21/06/1984;Guerra Irã-Iraque
22/06/1984;Guerra Irã-Iraque
23/06/1984;Guerra Irã-Iraque
24/06/1984;Guerra Irã-Iraque
25/06/1984;Guerra Irã-Iraque
26/06/1984;Guerra Irã-Iraque
27/06/1984;Guerra Irã-Iraque
28/06/1984;Guerra Irã-Iraque
29/06/1984;Guerra Irã-Iraque
30/06/1984;Guerra Irã-Iraque
01/07/1984;Guerra Irã-Iraque
02/07/1984;Guerra Irã-Iraque
03/07/1984;Guerra Irã-Iraque
04/07/1984;Guerra Irã-Iraque
05/07/1984;Guerra Irã-Iraque
06/07/1984;Guerra Irã-Iraque
07/07/1984;Guerra Irã-Iraque
08/07/1984;Guerra Irã-Iraque
09/07/1984;Guerra Irã-Iraque
10/07/1984;Guerra Irã-Iraque
11/07/1984;Guerra Irã-Iraque
12/07/1984;Guerra Irã-Iraque
13/07/1984;Guerra Irã-Iraque
14/07/1984;Guerra Irã-Iraque
15/07/1984;Guerra Irã-Iraque
16/07/1984;Guerra Irã-Iraque
17/07/1984;Guerra Irã-Iraque
18/07/1984;Guerra Irã-Iraque
19/07/1984;Guerra Irã-Iraque
